Feature,Importance
NAME_CONTRACT_TYPE,0.018523749
CODE_GENDER,0.031470675
FLAG_OWN_CAR,0.021312755
FLAG_OWN_REALTY,0.006742267
CNT_CHILDREN,0.004987652
AMT_INCOME_TOTAL,0.005467746
AMT_CREDIT,0.010623428
AMT_ANNUITY,0.0110028
AMT_GOODS_PRICE,0.015217341
NAME_TYPE_SUITE,0.004680536
NAME_INCOME_TYPE,0.023308288
NAME_EDUCATION_TYPE,0.035539836
NAME_FAMILY_STATUS,0.009097518
NAME_HOUSING_TYPE,0.0055998196
REGION_POPULATION_RELATIVE,0.0053535826
DAYS_BIRTH,0.014285981
DAYS_EMPLOYED,0.014236643
DAYS_REGISTRATION,0.005794575
DAYS_ID_PUBLISH,0.007899674
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,0.0
FLAG_WORK_PHONE,0.0071209064
FLAG_CONT_MOBILE,0.0
FLAG_PHONE,0.005657791
FLAG_EMAIL,0.0077083213
OCCUPATION_TYPE,0.0060727256
CNT_FAM_MEMBERS,0.0060269497
REGION_RATING_CLIENT,0.0058325124
REGION_RATING_CLIENT_W_CITY,0.012956828
WEEKDAY_APPR_PROCESS_START,0.0056572747
HOUR_APPR_PROCESS_START,0.0051410105
REG_REGION_NOT_LIVE_REGION,0.002719598
REG_REGION_NOT_WORK_REGION,0.0037010715
LIVE_REGION_NOT_WORK_REGION,0.0052909465
REG_CITY_NOT_LIVE_CITY,0.013981111
REG_CITY_NOT_WORK_CITY,0.004461112
LIVE_CITY_NOT_WORK_CITY,0.004027072
ORGANIZATION_TYPE,0.0066275788
EXT_SOURCE_1,0.021409057
EXT_SOURCE_2,0.0764566
EXT_SOURCE_3,0.07440827
APARTMENTS_AVG,0.0065990053
BASEMENTAREA_AVG,0.0046894983
YEARS_BEGINEXPLUATATION_AVG,0.0050582266
ELEVATORS_AVG,0.008589635
ENTRANCES_AVG,0.005322136
FLOORSMAX_AVG,0.011329963
LANDAREA_AVG,0.0050616413
LIVINGAREA_AVG,0.005634299
NONLIVINGAREA_AVG,0.006024084
APARTMENTS_MODE,0.0056458195
BASEMENTAREA_MODE,0.0063291285
YEARS_BEGINEXPLUATATION_MODE,0.0071986956
ELEVATORS_MODE,0.00459949
ENTRANCES_MODE,0.00554071
FLOORSMAX_MODE,0.0065612365
LANDAREA_MODE,0.0053597977
LIVINGAREA_MODE,0.0066247582
NONLIVINGAREA_MODE,0.00638169
APARTMENTS_MEDI,0.0063907644
BASEMENTAREA_MEDI,0.0054612127
YEARS_BEGINEXPLUATATION_MEDI,0.0059449854
ELEVATORS_MEDI,0.008056008
ENTRANCES_MEDI,0.008098744
FLOORSMAX_MEDI,0.015302487
LANDAREA_MEDI,0.0069445753
LIVINGAREA_MEDI,0.0072556804
NONLIVINGAREA_MEDI,0.00581892
HOUSETYPE_MODE,0.0035279465
TOTALAREA_MODE,0.005943865
WALLSMATERIAL_MODE,0.004991828
EMERGENCYSTATE_MODE,0.0051684673
OBS_30_CNT_SOCIAL_CIRCLE,0.0056572403
DEF_30_CNT_SOCIAL_CIRCLE,0.0095106
OBS_60_CNT_SOCIAL_CIRCLE,0.0074481424
DEF_60_CNT_SOCIAL_CIRCLE,0.014544304
DAYS_LAST_PHONE_CHANGE,0.00701952
FLAG_DOCUMENT_2,0.0025219123
FLAG_DOCUMENT_3,0.026827468
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_5,0.0058316803
FLAG_DOCUMENT_6,0.006093906
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_8,0.0034524766
FLAG_DOCUMENT_9,0.0042573637
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_11,0.008487721
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_13,0.008243308
FLAG_DOCUMENT_14,0.0045842147
FLAG_DOCUMENT_15,0.0051613534
FLAG_DOCUMENT_16,0.0071198046
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_18,0.0065101553
FLAG_DOCUMENT_19,0.002960218
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0044092364
AMT_REQ_CREDIT_BUREAU_DAY,0.0063657993
AMT_REQ_CREDIT_BUREAU_WEEK,0.00540798
AMT_REQ_CREDIT_BUREAU_MON,0.0052744546
AMT_REQ_CREDIT_BUREAU_QRT,0.009576873
AMT_REQ_CREDIT_BUREAU_YEAR,0.006291373
CREDIT_INCOME_RATIO,0.006706789
ANNUITY_INCOME_RATIO,0.0076317936
CREDIT_TERM,0.017449178
EMPLOYED_TO_AGE_RATIO,0.008899352
BUREAU_CREDIT_MEAN,0.008724447
BUREAU_CREDIT_MAX,0.009051396
BUREAU_CREDIT_SUM,0.008559208
BUREAU_DEBT_MEAN,0.014351221
BUREAU_DEBT_SUM,0.0072655026
BUREAU_OVERDUE_MEAN,0.004611246
BUREAU_OVERDUE_MAX,0.005335857
